ID,Column Name,Justification (optional)
68,,all null columns
96,,all null columns
141,,all null columns
150,,all null columns
154,,all null columns
175,,all null columns
178,,all null columns
198,,all null columns
204,,all null columns
214,,all null columns
271,,all null columns
294,,all null columns
321,,all null columns
483,,all null columns
495,,all null columns
505,,all null columns
567,,all null columns
597,,all null columns
602,,all null columns
638,,all null columns
642,,all null columns
643,,all null columns
726,,all null columns
731,,all null columns
854,,all null columns
883,,all null columns
1005,,all null columns
1054,,all null columns
1086,,all null columns
1154,,all null columns
1260,,all null columns
1312,,all null columns
1537,,all null columns
1601,,all null columns
1656,,all null columns
1702,,all null columns
1727,,all null columns
1856,,all null columns
2016,,all null columns
2129,,all null columns
2245,,all null columns
2297,,all null columns
2504,,all null columns
2513,,all null columns
2600,,all null columns
2686,,all null columns
2750,,all null columns
2785,,all null columns
2799,,all null columns
3115,,all null columns
3148,,all null columns
3210,,all null columns
3221,,all null columns
3238,,all null columns
3292,,all null columns
3349,,all null columns
3546,,all null columns
3554,,all null columns
3575,,all null columns
3642,,all null columns
3683,,all null columns
3713,,all null columns
3793,,all null columns
3797,,all null columns
3817,,all null columns
3891,,all null columns
3894,,all null columns
3899,,all null columns
3999,,all null columns
4266,,all null columns
4285,,all null columns
4376,,all null columns
4407,,all null columns
4423,,all null columns
4426,,all null columns
4485,,all null columns
4491,,all null columns
4576,,all null columns
4608,,all null columns
4649,,all null columns
4691,,all null columns
4810,,all null columns
5082,,all null columns
5084,,all null columns
5093,,all null columns
5112,,all null columns
5148,,all null columns
5162,,all null columns
5189,,all null columns
5233,,all null columns
5284,,all null columns
5350,,all null columns
5366,,all null columns
5436,,all null columns
5648,,all null columns
5651,,all null columns
5728,,all null columns
5753,,all null columns
5898,,all null columns
5928,,all null columns
5945,,all null columns
6030,,all null columns
6052,,all null columns
6076,,all null columns
6232,,all null columns
6319,,all null columns
6422,,all null columns
6435,,all null columns
6442,,all null columns
6447,,all null columns
6461,,all null columns
6494,,all null columns
6503,,all null columns
6652,,all null columns
6722,,all null columns
6743,,all null columns
6766,,all null columns
6867,,all null columns
6886,,all null columns
6947,,all null columns
6955,,all null columns
7028,,all null columns
7130,,all null columns
7147,,all null columns
7163,,all null columns
7177,,all null columns
7188,,all null columns
7235,,all null columns
7245,,all null columns
7398,,all null columns
7401,,all null columns
7586,,all null columns
7590,,all null columns
7610,,all null columns
7709,,all null columns
7746,,all null columns
7771,,all null columns
7853,,all null columns
7898,,all null columns
7900,,all null columns
7918,,all null columns
7947,,all null columns
7985,,all null columns
8011,,all null columns
8041,,all null columns
8141,,all null columns
8173,,all null columns
8332,,all null columns
8344,,all null columns
8405,,all null columns
8459,,all null columns
8460,,all null columns
8526,,all null columns
8529,,all null columns
8532,,all null columns
8642,,all null columns
8691,,all null columns
8693,,all null columns
8730,,all null columns
8801,,all null columns
8802,,all null columns
8818,,all null columns
8856,,all null columns
8953,,all null columns
9008,,all null columns
9017,,all null columns
9111,,all null columns
9215,,all null columns
9253,,all null columns
9281,,all null columns
9305,,all null columns
9306,,all null columns
9310,,all null columns
9322,,all null columns
9356,,all null columns
9490,,all null columns
9545,,all null columns
9553,,all null columns
9612,,all null columns
9628,,all null columns
9668,,all null columns
9670,,all null columns
9673,,all null columns
9761,,all null columns
9762,,all null columns
9792,,all null columns
9810,,all null columns
9812,,all null columns
9827,,all null columns
9830,,all null columns
9849,,all null columns
9855,,all null columns
9900,,all null columns
9919,,all null columns
9956,,all null columns
10121,,all null columns
10177,,all null columns
10229,,all null columns
10344,,all null columns
10369,,all null columns
10373,,all null columns
10382,,all null columns
10541,,all null columns
10559,,all null columns
10591,,all null columns
10621,,all null columns
10766,,all null columns
10841,,all null columns
10871,,all null columns
10901,,all null columns
10911,,all null columns
10921,,all null columns
10968,,all null columns
11034,,all null columns
11056,,all null columns
11101,,all null columns
11131,,all null columns
11187,,all null columns
11213,,all null columns
11223,,all null columns
11367,,all null columns
11368,,all null columns
11519,,all null columns
11601,,all null columns
11638,,all null columns
11641,,all null columns
11735,,all null columns
11804,,all null columns
11919,,all null columns
11943,,all null columns
11983,,all null columns
11984,,all null columns
11985,,all null columns
11986,,all null columns
11998,,all null columns
12030,,all null columns
12047,,all null columns
12107,,all null columns
12152,,all null columns
12184,,all null columns
12246,,all null columns
12276,,all null columns
12284,,all null columns
12470,,all null columns
12515,,all null columns
12535,,all null columns
12627,,all null columns
12631,,all null columns
12663,,all null columns
12681,,all null columns
12818,,all null columns
12835,,all null columns
12879,,all null columns
13008,,all null columns
13042,,all null columns
13121,,all null columns
13239,,all null columns
13245,,all null columns
13268,,all null columns
13320,,all null columns
13337,,all null columns
13375,,all null columns
13401,,all null columns
13512,,all null columns
13587,,all null columns
13641,,all null columns
13691,,all null columns
13735,,all null columns
13752,,all null columns
13776,,all null columns
13845,,all null columns
13879,,all null columns
13909,,all null columns
14039,,all null columns
14130,,all null columns
14148,,all null columns
14184,,all null columns
14191,,all null columns
14220,,all null columns
14248,,all null columns
14307,,all null columns
14370,,all null columns
14407,,all null columns
14458,,all null columns
14525,,all null columns
14584,,all null columns
14600,,all null columns
14607,,all null columns
14708,,all null columns
14853,,all null columns
14856,,all null columns
14880,,all null columns
14881,,all null columns
14893,,all null columns
14971,,all null columns
15032,,all null columns
15058,,all null columns
15133,,all null columns
15154,,all null columns
15354,,all null columns
15370,,all null columns
15408,,all null columns
15564,,all null columns
15587,,all null columns
15588,,all null columns
15592,,all null columns
15596,,all null columns
15792,,all null columns
15802,,all null columns
15896,,all null columns
15951,,all null columns
16078,,all null columns
16113,,all null columns
16137,,all null columns
16147,,all null columns
16167,,all null columns
16199,,all null columns
16249,,all null columns
16288,,all null columns
16360,,all null columns
16362,,all null columns
16446,,all null columns
16645,,all null columns
16653,,all null columns
16797,,all null columns
16846,,all null columns
16888,,all null columns
16892,,all null columns
16939,,all null columns
16972,,all null columns
17019,,all null columns
17073,,all null columns
17075,,all null columns
17129,,all null columns
17224,,all null columns
17225,,all null columns
17238,,all null columns
17255,,all null columns
17264,,all null columns
17266,,all null columns
17268,,all null columns
17288,,all null columns
17289,,all null columns
17293,,all null columns
17499,,all null columns
17556,,all null columns
17576,,all null columns
17707,,all null columns
17722,,all null columns
17749,,all null columns
17789,,all null columns
17831,,all null columns
18091,,all null columns
18092,,all null columns
18174,,all null columns
18269,,all null columns
18293,,all null columns
18298,,all null columns
18310,,all null columns
18338,,all null columns
18339,,all null columns
18394,,all null columns
18426,,all null columns
18448,,all null columns
18530,,all null columns
18694,,all null columns
18717,,all null columns
18844,,all null columns
18933,,all null columns
19122,,all null columns
19148,,all null columns
